formatted_address,geometry,place_id,plus_code,types,Lat/Long
"117 106th Ave NE, Bellevue, WA 98004, USA","{'location': {'lat': 47.61052489999999, 'lng': -122.1992094}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6119073802915, 'lng': -122.1977973197085}, 'southwest': {'lat': 47.6092094197085, 'lng': -122.2004952802915}}}",ChIJCQPseX1skFQREeh34RcGAnQ,"{'compound_code': 'JR62+68 Bellevue, WA', 'global_code': '84VVJR62+68'}",['street_address'],"(47.61052489999999,-122.1992094)"
"600 108th Ave NE, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.61625850000001, 'lng': -122.1950389}, 'southwest': {'lat': 47.6157153, 'lng': -122.1960946}}, 'location': {'lat': 47.6159598, 'lng': -122.1956537}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6173358802915, 'lng': -122.1942177697085}, 'southwest': {'lat': 47.6146379197085, 'lng': -122.1969157302915}}}",ChIJoRdGBolskFQRCq6m22X3tSE,,['premise'],"(47.6159598,-122.1956537)"
"10050 NE 10th St, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6195634, 'lng': -122.2058048}, 'southwest': {'lat': 47.6194127, 'lng': -122.2063137}}, 'location': {'lat': 47.61950179999999, 'lng': -122.2060086}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6207666302915, 'lng': -122.2047102697085}, 'southwest': {'lat': 47.6180686697085, 'lng': -122.2074082302915}}}",ChIJeVusX4VskFQRLw6pS9GjzQ4,,['premise'],"(47.61950179999999,-122.2060086)"
"11100 Main St, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.61075959999999, 'lng': -122.1910865}, 'southwest': {'lat': 47.6103252, 'lng': -122.1916261}}, 'location': {'lat': 47.61053219999999, 'lng': -122.1913424}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6118913802915, 'lng': -122.1900073197085}, 'southwest': {'lat': 47.6091934197085, 'lng': -122.1927052802915}}}",ChIJ4zzCE2NskFQRlEE7L_yIOxg,,['premise'],"(47.61053219999999,-122.1913424)"
"10635 NE 8th St, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6171262, 'lng': -122.1972731}, 'southwest': {'lat': 47.6169433, 'lng': -122.1980804}}, 'location': {'lat': 47.6170426, 'lng': -122.1977256}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6184247802915, 'lng': -122.1963277697085}, 'southwest': {'lat': 47.6157268197085, 'lng': -122.1990257302915}}}",ChIJ9X0a2IhskFQRNsDKD4kVICU,,['premise'],"(47.6170426,-122.1977256)"
"Parking lot, 10666 NE 8th St, Bellevue, WA 98004, USA","{'location': {'lat': 47.61778169999999, 'lng': -122.1969555}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6190366802915, 'lng': -122.1954806697085}, 'southwest': {'lat': 47.6163387197085, 'lng': -122.1981786302915}}}",ChIJ43IiNIlskFQRAFx9TMmXLJk,,['subpremise'],"(47.61778169999999,-122.1969555)"
"8 100th Ave NE, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6105378, 'lng': -122.2063324}, 'southwest': {'lat': 47.610446, 'lng': -122.2066564}}, 'location': {'lat': 47.610504, 'lng': -122.206505}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.61179463029149, 'lng': -122.2051454197085}, 'southwest': {'lat': 47.60909666970849, 'lng': -122.2078433802915}}}",ChIJuV1SloBskFQRPJ0j706xc2w,,['premise'],"(47.610504,-122.206505)"
"103 110th Ave NE, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6119069, 'lng': -122.1938244}, 'southwest': {'lat': 47.6111757, 'lng': -122.1946293}}, 'location': {'lat': 47.611543, 'lng': -122.1940898}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6128715802915, 'lng': -122.1928778697085}, 'southwest': {'lat': 47.6101736197085, 'lng': -122.1955758302915}}}",ChIJg--gv2JskFQReFLPCnGKdAU,,['premise'],"(47.611543,-122.1940898)"
"123 108th Ave NE, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6109479, 'lng': -122.1963672}, 'southwest': {'lat': 47.6108474, 'lng': -122.1966353}}, 'location': {'lat': 47.6109022, 'lng': -122.196506}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.61224663029149, 'lng': -122.1950701197085}, 'southwest': {'lat': 47.6095486697085, 'lng': -122.1977680802915}}}",ChIJkf-mO31skFQR_zjOLXN6Eks,,['premise'],"(47.6109022,-122.196506)"
"401 Bellevue Way NE, Bellevue, WA 98004, USA","{'location': {'lat': 47.6140917, 'lng': -122.2021002}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.61598768029149, 'lng': -122.2008592197085}, 'southwest': {'lat': 47.6132897197085, 'lng': -122.2035571802915}}}",ChIJS_nwEIZskFQRhmyNCE0tEXU,"{'compound_code': 'JQ7X+J5 Bellevue, WA', 'global_code': '84VVJQ7X+J5'}",['street_address'],"(47.6140917,-122.2021002)"
"12 Bellevue Way SE, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6099377, 'lng': -122.2009283}, 'southwest': {'lat': 47.609777, 'lng': -122.2011629}}, 'location': {'lat': 47.609866, 'lng': -122.2010383}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6111551802915, 'lng': -122.1997509197085}, 'southwest': {'lat': 47.60845721970851, 'lng': -122.2024488802915}}}",ChIJH_mywX1skFQRifXdOdeE5FQ,,['premise'],"(47.609866,-122.2010383)"
"120 106th Ave NE, Bellevue, WA 98004, USA","{'location': {'lat': 47.610793, 'lng': -122.198175}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6121401802915, 'lng': -122.1968973697085}, 'southwest': {'lat': 47.6094422197085, 'lng': -122.1995953302915}}}",ChIJn4PFbH1skFQRRwucxqK3ISw,"{'compound_code': 'JR62+8P Bellevue, WA', 'global_code': '84VVJR62+8P'}",['street_address'],"(47.610793,-122.198175)"
"1125 102nd Ave NE, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6208872, 'lng': -122.2046333}, 'southwest': {'lat': 47.6206381, 'lng': -122.2049453}}, 'location': {'lat': 47.620738, 'lng': -122.2047668}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6221116302915, 'lng': -122.2032908697085}, 'southwest': {'lat': 47.6194136697085, 'lng': -122.2059888302915}}}",ChIJcejW3Y9skFQRtvxxEBxaPu0,,['premise'],"(47.620738,-122.2047668)"
"10610 NE 8th St, Bellevue, WA 98004, USA","{'location': {'lat': 47.617695, 'lng': -122.198694}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.61899723029151, 'lng': -122.1973473697085}, 'southwest': {'lat': 47.61629926970851, 'lng': -122.2000453302915}}}",ChIJ4Zlw1Y5skFQRrfr4wnDQ1nc,"{'compound_code': 'JR92+3G Bellevue, WA', 'global_code': '84VVJR92+3G'}",['street_address'],"(47.617695,-122.198694)"
"205 105th Ave NE, Bellevue, WA 98004, USA","{'bounds': {'northeast': {'lat': 47.6124859, 'lng': -122.2004087}, 'southwest': {'lat': 47.6122357, 'lng': -122.2006778}}, 'location': {'lat': 47.6123807, 'lng': -122.2005207}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6137543802915, 'lng': -122.1991942697085}, 'southwest': {'lat': 47.6110564197085, 'lng': -122.2018922302915}}}",ChIJb9L3modskFQRg5oOzi0m1Hk,,['premise'],"(47.6123807,-122.2005207)"
"10855 NE 8th St, Bellevue, WA 98004, USA","{'location': {'lat': 47.6170155, 'lng': -122.1939801}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6184303302915, 'lng': -122.1926270197085}, 'southwest': {'lat': 47.6157323697085, 'lng': -122.1953249802915}}}",ChIJ6ZDPZIlskFQRdikj41X7Dbg,"{'compound_code': 'JR84+RC Bellevue, WA', 'global_code': '84VVJR84+RC'}",['street_address'],"(47.6170155,-122.1939801)"
"830 106th Ave NE, Bellevue, WA 98004, USA","{'location': {'lat': 47.6183412, 'lng': -122.198684}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.61965603029149, 'lng': -122.1973359697085}, 'southwest': {'lat': 47.6169580697085, 'lng': -122.2000339302915}}}",ChIJx8r12o5skFQRipDfuOerhlM,"{'compound_code': 'JR92+8G Bellevue, WA', 'global_code': '84VVJR92+8G'}",['street_address'],"(47.6183412,-122.198684)"
